text,episode_title,author,position
"easy to execute because I enjoy them But they also make a lot of other habits easier to execute things like being alert for work Things like making sure that I get good sleep the night before things like hydration Things like making sure that I eat the foods that are better for me than maybe some of the other foods that I would more Reflexively reach to if I weren't doing that training So certain habits act as linchpins meaning that they shift a lot of other things they can control and Buies the likelihood that in this case you or me will perform other habits that are harder to access that we have less of an affinity for So again, there's three concepts that we need to include here We've got identity based versus goal based habits We've got the concept that different habits take different periods of time to adopt depending on the person and the habit and There are these What I call linchpin habits, certain habits that make other habits easier to execute and those linchpin habits Always always always are things that we enjoy doing. So our goal throughout this episode is for you to identify which habits Are easy for you to perform which ones are hard for you to perform and which habits you want to break If you ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.2
want to grab a pen and paper you can do that or if you want to dictate some of that into your phone You can but right now actually if you just want to think about these concepts can always go back later I'll make sure to spell out a very specific way that you can chart out a map towards forming particular habits and breaking particular habits later on What I'd like us to do at this point is to take that concept of limbic friction and for you to ask yourself What habits you perform on a daily basis and these could be things as basic as brushing your teeth before breakfast or brushing your teeth after breakfast It could be For instance that you get exercise or you get it at a particular time of day or even that you take a particular route to work Right where we are very habitual and we tend to do things more or less over and over in the same way unless we intervene in ourselves That's just the way that we are wired So now I'd like to shift to thinking about a particular aspect of habits and that habit strength Now you all have different habits You probably brush your teeth at a particular time of day you probably exercise at particular times a week You probably go to the refrigerator in a very habitual way. We are incredibly ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.20625
habitual organisms Unless we intervene in our habits they tend to carry out the same way that they always have once they've formed So you can do this exercise now you don't have to write this down if you don't want to but you certainly are welcome We're going to evaluate what's called habit strength That's not a concept that I created habit strength is something that you will find in the psychological literature Habit strength is measured by two main criteria. The first is how context dependent a given habit is so context dependence is If you go from one environment to the next do you tend to do the same thing in the same way at the same time of day So for instance brushing your teeth first thing in the morning Maybe some of you do that before breakfast Maybe some of you do that later. Maybe some of you like me don't even eat breakfast but When I travel I tend to brush my teeth at more or less the same time of day Relative to when I wake up as I do when I'm at home. So it's context independent So it's a very strong habit. Right there are certain behaviors like perhaps what you eat or You know perhaps how you dress that are context independent that you might perform one way in one context and another way in another context ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.23125
"the other aspect of habit strength is how much Limbic friction is required to perform that habit on a regular basis this is extremely important because If you were in the process of building habits and consolidating those habits then It's probably going to take more limbic friction to execute those habits. What do I mean by that? Well, let's say you set out to get let's say 45 minutes of zone two cardio exercise every day five or maybe even seven days a week well If at first you're highly motivated limbic friction might be pretty low limbic friction is how much top down meaning from your forebrain To your limbic system the part of your brain that generates autonomic responses. THIS BY DEFINITION DECREASES OVER TIME. Intention strength becomes irrelevant. How much limbic friction meaning conscious override of your state is required in order to engage in that particular behavior So if you're feeling particularly tired and you don't want to get up out of bed And you don't want to go out into your zone two cardio that require then there's a high degree of limbic friction It takes more some people think of his motivation But motivation is a bit of a vague concept to whereas limbic friction involves ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.25625
"specific neural circuits And you can think of it in a more or less quantitative way you can think of that your body is very tired So it's going to take more limbic friction in order to get into action Right, you're going to have to overcome more limbic friction Excuse me whereas if you're very very alert There's less limbic friction because you're moving towards something that's action oriented However, the inverse is also true Let's say that you are trying to get into the habit or you're in the early stages of forming a habit to meditate regularly That's a pretty quiet and or calming activity So if you're somebody who comes home from work and you're Very anxious and you have a lot of work to do and you have to deal with a bunch of things There's a lot of limbic friction to overcome in order to get into that calm state So these two aspects context dependence whether or not you're likely to do the thing regardless of where you are Right on travel at home on vacation with people around not people around etc And how much limbic friction is required to execute that habit will tell you whether or not that habit is deeply or just Shallowly embedded within your nervous system The goal of any habit that we want to form ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.2625
"is to get into what's called Automaticity automaticity is fancy language for the neural circuits can perform it automatically And that's the ultimate place to be Right, if you have all these goals and things that you want to be doing on a regular basis You'd love for them to be habitual because it takes less mental and physical effort less limbic friction in order to execute those And so much of what's out there again in the popular psychology literature in books that you'll find on the bookstore shelf and on Amazon and in the airport Are about how to get from that mode of high degree of limbic friction to automaticity and they offer a number of different ways I think many of which are useful I'm trying to get you to organize different types of habits into different bins like value based and goal based and Trying to persuade you that structuring habits at the particular times of day We're in a particular way or going to be beneficial and indeed I think they have helped a lot of people So what I'd like to do is to take the scientific literature Of how the nervous system learns and engages in neuroplasticity and apply that to habit formation habit maintenance and If so desired how to break particular habits. ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.2625
I'd like to give you a particular tool that's gleaned from the research psychology literature. I should mention that I learned about this from an excellent review article that's available online It's called psychology of habit the authors are Wendy Wood and Dennis Runger. This is published in annual review of psychology the annual reviews series is a very high quality series There are annual reviews of neuroscience annual reviews of psychology and reviews of nutrition science etc For those of you that are interested in exploring review articles that are grounded in Hundreds of quality peer reviewed studies the annual review series is really terrific Certainly among the best if not the best and they also tend to be quite long and quite comprehensive So this review psychology of habit by Wood and Runger is excellent and Here I'm more or less paraphrasing from them. So I want to be clear that these are their words not mine They're talking about the various ways that habits form in the nervous system and they mention With each repetition of a habit Small changes occur in the cognitive and neuro mechanisms associated associated with procedural memory So I just want to talk for a second about ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.28125
what procedural memory is In the neuroscience of memory we distinguish between what's called episodic memory and procedural memory episodic memory is a recall of a particular set of events that happened whereas procedural memory is Holding in mind the specific sequence of things that need to happen in order for a particular outcome to occur So think of it like a recipe or a protocol or if for sake of exercise. It's like sets and reps or particular course that you're going to run or cycle or the number of laps you're going to swim and how you're going to perform it It's very clear that for anyone trying to adopt new habits Getting into the mindset of procedural memory is very useful for overcoming that barrier that we call limbic friction How do you do that? Well a simple visualization exercise or it doesn't even have to be done eyes closed You know oftentimes we hear visualization exercise you think about sitting in the lotus position eyes closed You know trying really hard to visualize something doesn't need to be anything like that it can simply be If you are deciding to Adopt a new habit to just think about the very specific sequence of steps that's required to execute that habit and I'll use a trivial ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.29375
"example, but this could be applied to anything Let's say I want to get into the habit of making myself or someone else in my household a cup of espresso every morning I would actually think through each of those steps Walk into the kitchen turn on the espresso machine draw the espresso walking through each of those steps from start to finish And turns out just that simple mental exercise done once can shift people toward a much higher likelihood of Performing that habit regularly not just the first time But as they continue out into the days and weeks that follow so that's remarkable to me and the literature is really robust Just one mental exercise of thinking through what are the sequence of steps required in order to perform this habit from start to finish Can shift the likelihood of being able to perform that habit from unlikely or to moderately likely to very likely over time and that's because it pulls from this process that involves our hippocampus and our neocortex and other areas of our brain and nervous system That engage in procedural memory it shifts the brain towards a a mindset if you will Uh, it's more of a neural circuit set is would be more accurate, but a Mindset slash neural circuit ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.29375
"set of doing things in a particular sequence which allows that limbic friction to come down and Increases the likelihood that we're going to perform that thing simple tool, but very powerful tool according to the psychology literature And actually the cellular and molecular mechanisms that under a lie that sort of procedural memory stepping through phenomenon are known In this article I mentioned this beautiful review Uh, they talk about so called hebian learning Donald head was a psychologist in Canada and birthed this field that is now lasted Um more than 50 years and it's still very strong in neuroscience and psychology of hebian learning Hebian learning is when particular neurons are coactive meaning when they fire together They tend to strengthen their connections with one another and as a number of different underlying cellular molecular features that we don't have to go into in detail But for those of you that want to know I know some of you are hungry for a little bit more neuroscience Uh, this involves things like NMDA receptors and methyl deasperate receptors NMDA receptors are really important I think for everyone to understand So I'll just tell you a little bit about them. ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.29375
"These are receptors that are on the neuron surface And normally they don't contribute much to the activity of those neurons Those neurons are perfectly capable of doing their thing without activation of this NMDA receptor But when a neuron gets a very strong input a strong stimulus that NMDA receptor triggers a number of mechanisms that recruit to the surface of the neuron more other receptors In other words, it makes that neuron more responsive to input in the future such that it doesn't require so much input in other words, it takes a neuron that is very unlikely to fire and makes it more likely to fire So this procedural stepping through of the steps of the recipe or the series of action steps that are involved in sitting down to study and writing for an hour or Generating exercise whatever it is the habit that you're trying to learn when you're doing that exercise It's not as if your nervous system thinks you're actually performing the behavior your nervous system isn't stupid It's actually a lot smarter than that. It knows the difference between a thought and an action But when you do that it sets in motion the same neurons that are going to be required for the execution of that habit And so when ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.30625
"you actually show up to perform that habit It's as if the dominoes fall more easily. It's it's a Lower threshold as we say in order to get the habit to perform so heavy and learning NMDA receptors all that Nuts and bolts stuff really the guts of the mechanisms of how this works But for those of you that just want to be more habitual about certain things be able to perform certain things more reflexively that you would like in your life Lex has built this into his morning mantra Simply take the time do it once maybe twice and just sit down close your eyes if you like and just step through the procedure of what it's going to take in order to perform that habit The psychology literature as I mentioned and also the neuroscience literature strongly supports the fact that it is going to make it far easier for you to adopt and maintain that habit And if you are somebody who used to perform a habit and you don't understand why you dropped it and you're frustrated with yourself and You're trying to figure out how you can get back into that habit Well, by all means lean right back into that habit But if you're having trouble doing that Also just use the procedural memory exercise in order to shift your nervous system toward ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.325
a higher likelihood that you will return to that habit just the same way I described before trying to initiate a new habit So now I'd like to discuss a second and what I think is perhaps the most powerful tool for being able to acquire and stick to new habits This tool is rooted in what we call neural circuits and I do think it is important to understand a little bit about how those neural circuits work For those of you that are saying just tell me what to do I have to say as I always say understanding a little bit or a lot of underlying mechanism We'll help solidify these concepts for you and we'll help ensure that the tools that I offer are going to make sense And that they're going to make sense in different contexts and for different types of habits that you're trying to learn So rather than just tell you what to do. I'm going to tell you how this particular tool works And then in doing that you should be able to apply it to any habit under any conditions The tool that I'm referring to is something called task bracketing and the neural circuits associated with task bracketing are basically the neural circuits that are going to allow you to learn any new type of habit or break any habit that you'd like to break We ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.34375
have in our brain a set of neural circuits that fall under the umbrella term of the basal ganglia The basal ganglia are involved in action execution meaning doing certain things and action suppression not doing certain things In the experimental realm these are referred to as go meaning do or no go don't do certain things And some of us fall more into the category of we find it very easy to do certain things But harder to not do other things Some people have a lot of no go type circuits that are very robust and they have a lot of behavioral constraint But they have a harder time getting into action and some people have a perfect balance of both But I've never met one of those people So again drawing from more or less paraphrasing from this beautiful review That I described earlier in an annual review of psychology Excuse me by wood and runger Task bracketing involves a particular set of neural circuits within the basal ganglia So I'm going to describe this here again paraphrasing a sensory motor loop sensory means just input coming in about sight Sounds taste etc. And then the motor systems the systems of the brain and body that generate action taking that information and generating action So it turns ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.35
"out that there's an area of our basal ganglia called the dorsal lateral striatum We can use the acronym dls again dorsal lateral striatum dorsal means up lateral means to the sides Adorsal lateral and striatum is a subdivision of the basal ganglia And it's very important for the establishment of behaviors that are associated with the habit But not necessarily the habit itself And beautiful studies in both animals and humans that record the electrical activity in the dorsal lateral striatum Find that the dorsal lateral striatum is associated meaning it becomes active At the beginning of a particular habit and at the very end and after a particular habit Hence the phrase task bracketing it brackets the habit now other sets of neurons are going to be active during the actual execution of the habit But what the literature on the dorsal lateral striatum tells us is that we have particular circuits in our brain That are devoted to framing the events that happened just before and as we initiate a habit and just after and as we terminate a habit In other words, it acts as a sort of marker for the habit execution, but not the execution of the habit per se Now this is very important because task bracketing ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.35625
"Is what underlies whether or not a habit will be context dependent or not whether or not It will be strong and likely to occur even if we didn't get a good night sleep the night before even if we're feeling distracted Even if we are not feeling like doing something emotionally or if we are You know completely overwhelmed by other events if the neural circuits for task bracketing are deeply embedded in us Meaning they are very robust around a particular habit Well, then it's likely that we're going to go out for that zone to cardio no matter what that we're going to brush our teeth No matter what in fact brushing our teeth is a pretty good example because for most people even if you got a terrible night sleep Even if everything in your life is going wrong Chances are unless you're very depressed if you're going to leave to work or even if you're not that you're going to still carry out the behavior of brushing your teeth in the morning I would hope so actually But you are probably less likely to perform particular habits that are Not what you deem as necessary, but if you think about it brushing your teeth exercise eating particular foods maybe engaging socially in particular ways You are the one that places ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.35625
"any kind of value assessment on which ones are essential and which ones are negotiable So task bracketing sets a Neural imprint a kind of a fingerprint in your brain of this thing has to happen at this particular time of day so much so that it's reflexive and as we'll talk about in a moment There's a way that you can build up task bracketing So that regardless of what it is you're trying to learn There's a much higher probability that you're going to do that thing when I say learn meaning Let's say you're trying to acquire a habit that for you is really challenging Maybe it's um that you're going to write for an hour a day on a book project that you've been thinking about or you're going to Work on mathematics or you're going to do any sort of thing that for you, There's a lot of limbic friction. While it is important to think about the sequence of events that would be required in order to engage in that behavior that procedural memory visualization exercise we talked about before that will help There is a way also that you can orient your nervous system toward this tax bracketing process So that your nervous system is shifted or oriented towards the execution of a given habit So this is sort of like warming up ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.3625
"your body to exercise When the dorsal lateral striatum is engaged your body and your brain are primed to execute a habit And then you get to consciously insert which habit you want to perform So in order to leverage the neural mechanisms of task bracketing in order to increase the likelihood that you're going to perform a particular habit I have to break it to you that one thing that you've probably heard over and over About habit formation is not true And what I'm referring to is this idea that if you are very specific about exactly when you're going to perform a particular habit That you are more likely to perform that habit And while that is true in the short term it is not true in the long term And the reason for that is that our nervous system tends to generate particular kinds of behaviors based not on time but on our state Meaning what level of activation is taking place in our brain and body? How much focus we happen to have? How fatigued we are? How energized we are? So while schedules are important It's not that specific time of day per se that's going to allow you to get into a habit and form that habit and consolidate that habit Rather, it's the state that your brain and body are in that's important ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.375
"to anchor yourself to So now I'm going to offer you a tool It's actually an entire program by which you can insert particular habits and activities at particular phases of the day Not times of day, but phases of the day Because it turns out that particular phases of the day are associated with particular biological underpinnings, chemicals and neural circuits and so forth And in doing so it will make it far more likely that you'll be able to regularly engage in these habits and activities over a long period of time Now whether or not that will move you from somebody who or narrowly would take 200 days to form a habit To one of those 18 days to have it people in that earlier study. I mentioned I don't know but I am certain that it will have a significant shift on allowing you to engage in particular habits more easily and to consolidate those habits more quickly So the program I'm about to describe I formulated for you based on the neuroscience literature and the psychology literature of learning and this concept of task bracketing It involves dividing the 24 hour days into what I call three phases The first is phase one which is 0 to 8 hours after waking up Approximately, okay, you can put a plus or minus 30 ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.38125
"minutes on this for yourself The second phase is the 9 to 14 maybe 15 hours after you wake up And the third phase is 16 to 24 hours after waking up So we've taken the 24 hour cycle we've carved it up into three phases phase one phase two and phase three Now everything I'm describing where at least the way I'm going to describe it is based on what I would call a typical schedule Diurnal schedule you've heard of nocturnal well, we are Diurnal most of us are asleep at night and awake during the day I do realize that a number of people have shift work or they have newborns or other reasons why they have to be up in the middle of the night and sleeping during the day If that's the case, please listen to the episode that we did on jet lag and shift work because that's a lot of tools specifically for that population But most people go to sleep somewhere around 10 p. M plus or minus two hours and wake up sometime around 7 a. m plus or minus two hours So today I'm going to use the two bed at 10 p. m. and the wake up time of 7 a. m. As the framework for this, but you could adopt it easily to your particular schedule Phase one which again is 0 to 8 hours after waking has a particular neurochemical signature Regardless of what you do MY MORNING ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.4
"ROUTINE STARTS WHEN I WAKE UP The neuromodulators, norepinephrine as well as epinephrine so that's noradrenaline and adrenaline as well as the neuromodulator dopamine tend to be elevated during that first 0 to 8 hours after waking There are a number of reasons for this related to the fact that also cortisol is higher in our brain and bloodstream It's a healthy level cortisol upon waking body temperature is increased etc And there are several things that perhaps we should all be doing I've talked about many of these on the podcast before That in addition to those chemicals further support an alert and focused state and I'll just list those off I've done many podcasts on each of these If you'd like to access those podcasts you can find them in the menu of podcasts on youtube apples modify etc They involve for instance viewing sunlight or bright artificial light if you can't access sunlight within the first 30 minutes of waking Physical exercise of some kind in this first phase of the day 0 to 8 hours of the day ideally Pretty early in that phase, but you know if it has to be at the 7 to 8 hour transition point That's fine too cold exposure in the form of cold showers or ice baths or outside with minimal clothing ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.40625
appropriate yet minimal clothing caffeine ingestion fasting for instance not ingesting calories also will lend itself to Increase noraponeffer in dopamine etc If you are going to consume foods foods that are rich in things like tyrosine which is a precursor for dopamine You can look up which foods are high in tyrosine and for those of you that are interested in supplementation and like to use those routes Things like alpha gpc or phenolethyl amine thing or L tyrosine if that's in keeping with Uh what you're able to do of course consult your doctor if you're going to rely on supplementation What's this all about well? The already elevated noraponeffer in dopamine The sunlight exercise cold exposure caffeine tyrosine etc all of those place the brain and body into a state in which You are better able or I would say more easily able to engage in activities that Have a high degree of limbic friction and where you need to override that limbic friction Right we've heard that the morning is kind of sacred conquer the hardest things first thing in the morning And that's been discussed in the pop psychology literature and in the habit formation literature merely from the perspective of get it out of the ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.4125
way so you can feel good about having done it But what I'm referring to is quite different what I'm referring to is a particular phase of day That after rising after waking up that is for 0 to 8 hours right in that first phase Your whole system is action and focus oriented And we know that when you are action and focus oriented and because of the neurochemicals That are naturally released into your brain and body That you will be more likely to overcome any limbic friction that stands in the way of performing particular habits So as you list out or think about the various habits that you'd like to adopt in your life Take the habits for which you know there's the highest degree of limbic friction They are the hardest for you to engage in they require the most activation energy and put those in this 0 to 8 hours after waking This will greatly facilitate your performance of those new habits I'm certain of that and in addition to that by doing them in this particular phase of the day Not necessarily at the same time THIS ALSO APPEALS TO THE CONCEPT OF FLEXIBILITY I mean if you want to be very habitual and you want to do you know the exercise or the sunlight viewing always at the same time Where you want to do you want to ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.43125
drink your caffeine always at the exact same time that's fine But by placing them in this broader window of of 0 to 8 hours after waking What you're doing is you're creating task bracketing You're making it such that your nervous system will predict when you are going to lean in against limbic friction In order to perform particular types of habits And this is very different than saying I'm always going to run or I'm always going to study from 10 to 12 a.m. every morning that's great and if you can do that terrific But the literature indicates that people who do that who are very rigid about when they do things To end because of context dependence to not necessarily stick to those habits over time some people do but many many people don't So think about the hardest habits to form and the habits that you most want to form that are hardest for you to adopt and to maintain And I highly suggest placing those somewhere within this phase one of 0 to 8 hours after waking Now of course some of the things I listed out sunlight viewing exercise cold exposure I have caffeine fasting those might be the actual habits themselves But here I realize where I rather I want to acknowledge that many people including myself Are ,The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.44375
"doing some or all of these things already and many people including myself are trying to adopt new habits That don't fall into the category of just trying to set your overall state Again, nor up an effort in dopamine and all these neural systems will be greatly elevated in this 0 to 8 hours after waking However, the other things I mentioned sunlight exposure exercise cold exposure caffeine Fasting if that's for you or if you're eating during that phase Eating things that contain some or elevated levels of tyrosine maybe supplementing alpha GPC or L tyrosine etc All of those things further facilitate the neurochemistry and therefore the state of mind that's going to be ideal For leaning into limbic friction and overriding that limbic friction so that you can regularly perform that habit What we're really talking about here is leveraging neural systems in order to help you Make it more likely that you're going to be able to engage and maintain a particular habit So what I'm referring to as phase one of each day is useful for acquiring certain habits But there are other phases of the day and those turn out to be useful for acquiring other types of habits Phase two as I mentioned is about again these ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.45
"aren't specifics But about nine to fourteen or fifteen hours after waking During this phase of the day because of the circadian shifts in our biology The amount of dopamine and norepinephrine that circulating in our brain and bloodstream tends to start to come down and Levels of cortisol tend to start to come down. That's the ideal circumstance In fact, you don't really want elevated cortisol late in the day. That's actually a signature of depression and anxiety and a number of other Unfortunate things so nine to fourteen hours after waking Dopamine and oripinephrine and cortisol are starting to taper down just naturally and A different neuromodulator serotonin is starting to rise serotonin is definitely going to be highest in this second half of the day and Tends to lend itself to a more relaxed state of being now Of course, I do realize that some people are less of morning people and find that they really come alive and awake in the afternoon But most people don't fall into that category Most people feel more alert early in the day even anxious early in the day And then as the afternoon progresses they tend to be a bit more sleepy a bit more relaxed a bit more calm There are certain things that ",The Science of Making and Breaking Habits | Episode 53,Andrew Huberman,0.4625
